# Soil Bulk Density - Surface,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/71,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/71.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/29.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# Date		sampling date",,,,
"# Treatment		treatment",,,,
"# Replicate		replicate",,,,
"# Station		station",,,,
"# Bulk_density	gramsPerCubicCentimeter	bulk density",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#6-12-2003 Tim Bergsma.  Protocol mentions 1988,1991,1996, and 1999.  Table currently provides only 1995 and 1996.,
#2022-01-10 Sven Bohm. Changed treatment and rep designations to T.. and R.. to be consistent with other tables.,,,,
#,,,,
#,,,,gramsPerCubicCentimeter
Date,Treatment,Replicate,Station,Bulk_density
4/3/1996,T4 ,R1,3,1.53
4/3/1996,T4 ,R1,4,1.07
4/19/1996,T5 ,R1,2,1.49
4/19/1996,T5 ,R1,3,1.25
4/19/1996,T5 ,R1,4,1.29
4/19/1996,T6 ,R1,2,1.53
4/19/1996,T6 ,R1,3,1.44
4/19/1996,T6 ,R1,4,1.43
5/1/1996,T7 ,R1,2,1.34
5/1/1996,T7 ,R1,3,1.26
5/1/1996,T7 ,R1,4,1.45
4/10/1996,T1 ,R2,2,1.18
4/10/1996,T1 ,R2,3,1.61
4/10/1996,T1 ,R2,4,1.54
4/23/1996,T2 ,R2,2,1.79
4/23/1996,T2 ,R2,3,1.65
4/23/1996,T2 ,R2,4,1.43
4/10/1996,T3 ,R2,2,1.54
4/10/1996,T3 ,R2,3,1.53
4/10/1996,T3 ,R2,4,1.41
4/10/1996,T4 ,R2,2,1.53
4/10/1996,T4 ,R2,3,1.51
4/10/1996,T4 ,R2,4,1.41
4/19/1996,T5 ,R2,2,1.41
4/19/1996,T5 ,R2,3,1.38
4/19/1996,T5 ,R2,4,1.44
4/19/1996,T6 ,R2,2,1.46
4/19/1996,T6 ,R2,3,1.54
4/19/1996,T6 ,R2,4,1.57
5/1/1996,T7 ,R2,2,1.18
5/1/1996,T7 ,R2,3,1.38
5/1/1996,T7 ,R2,4,1.46
4/11/1996,T1 ,R3,2,1.44
4/11/1996,T1 ,R3,3,1.46
4/11/1996,T1 ,R3,4,1.06
4/23/1996,T2 ,R3,2,1.59
4/23/1996,T2 ,R3,3,1.31
4/23/1996,T2 ,R3,4,1.45
4/11/1996,T3 ,R3,2,1.3
4/11/1996,T3 ,R3,3,1.3
4/11/1996,T3 ,R3,4,1.62
4/11/1996,T4 ,R3,2,1.25
4/11/1996,T4 ,R3,3,1.37
4/11/1996,T4 ,R3,4,1.3
5/1/1996,T5 ,R3,2,1.53
5/1/1996,T5 ,R3,3,1.44
5/1/1996,T5 ,R3,4,1.54
4/19/1996,T6 ,R3,2,1.65
4/19/1996,T6 ,R3,3,1.31
4/19/1996,T6 ,R3,4,1.43
5/3/1996,T7 ,R3,2,1.31
5/3/1996,T7 ,R3,3,1.34
5/3/1996,T7 ,R3,4,1.37
4/11/1996,T1 ,R4,2,1.58
4/11/1996,T1 ,R4,3,1.44
4/11/1996,T1 ,R4,4,1.47
5/1/1996,T2 ,R4,2,1.49
5/1/1996,T2 ,R4,3,1.49
5/1/1996,T2 ,R4,4,1.46
4/11/1996,T3 ,R4,2,1.57
4/11/1996,T3 ,R4,3,1.46
4/11/1996,T3 ,R4,4,1.51
4/11/1996,T4 ,R4,2,1.26
4/11/1996,T4 ,R4,3,1.54
4/11/1996,T4 ,R4,4,1.42
5/1/1996,T5 ,R4,2,1.56
5/1/1996,T5 ,R4,3,1.42
5/1/1996,T5 ,R4,4,1.57
4/19/1996,T6 ,R4,2,1.5
4/19/1996,T6 ,R4,3,1.55
4/19/1996,T6 ,R4,4,1.4
5/3/1996,T7 ,R4,2,1.35
5/3/1996,T7 ,R4,3,1.43
5/3/1996,T7 ,R4,4,1.44
4/12/1996,T1 ,R5,2,1.39
4/12/1996,T1 ,R5,3,1.46
4/12/1996,T1 ,R5,4,1.62
5/1/1996,T21,R5,2,1.49
5/1/1996,T21,R5,3,1.37
5/1/1996,T21,R5,4,1.46
4/12/1996,T3 ,R5,2,1.44
4/12/1996,T3 ,R5,3,1.56
4/12/1996,T3 ,R5,4,1.2
4/12/1996,T4 ,R5,2,1.34
4/12/1996,T4 ,R5,3,1.52
4/12/1996,T4 ,R5,4,1.52
5/3/1996,T5 ,R5,2,1.46
5/3/1996,T5 ,R5,3,1.32
5/3/1996,T5 ,R5,4,1.44
4/23/1996,T6 ,R5,2,1.48
4/23/1996,T6 ,R5,3,1.51
4/23/1996,T6 ,R5,4,1.47
5/3/1996,T7 ,R5,2,1.37
5/3/1996,T7 ,R5,3,1.31
5/3/1996,T7 ,R5,4,1.37
4/12/1996,T1 ,R6,2,1.61
4/12/1996,T1 ,R6,3,1.68
4/12/1996,T1 ,R6,4,1.52
5/1/1996,T2 ,R6,2,1.36
5/1/1996,T2 ,R6,3,1.39
5/1/1996,T2 ,R6,4,1.52
4/12/1996,T3 ,R6,2,1.5
4/12/1996,T3 ,R6,3,1.3
4/12/1996,T3 ,R6,4,1.55
4/12/1996,T4 ,R6,2,1.43
4/12/1996,T4 ,R6,3,1.44
4/12/1996,T4 ,R6,4,1.56
5/1/1996,T5 ,R6,2,1.14
5/1/1996,T5 ,R6,3,1.32
5/1/1996,T5 ,R6,4,1.28
4/23/1996,T6 ,R6,2,1.6
4/23/1996,T6 ,R6,3,1.6
4/23/1996,T6 ,R6,4,1.53
5/3/1996,T7 ,R6,2,1.17
5/3/1996,T7 ,R6,3,1.21
5/3/1996,T7 ,R6,4,1.2
4/24/1996,T8 ,R1,2,1.08
4/24/1996,T8 ,R1,3,1.21
4/24/1996,T8 ,R1,4,1.15
4/24/1996,T8 ,R2,2,1.14
4/24/1996,T8 ,R2,3,1.13
4/24/1996,T8 ,R2,4,1.13
4/24/1996,T8 ,R3,2,1.13
4/24/1996,T8 ,R3,3,1.04
4/24/1996,T8 ,R3,4,1.06
4/24/1996,T8 ,R4,2,1.16
4/24/1996,T8 ,R4,3,1.07
4/24/1996,T8 ,R4,4,1.08
5/3/1996,TSF,R1,2,1.14
5/3/1996,TSF,R1,3,1.33
5/3/1996,TSF,R1,4,1.24
5/3/1996,TSF,R2,2,1.25
4/3/1996,T1 ,R1,2,1.53
4/3/1996,T1 ,R1,3,1.56
4/3/1996,T1 ,R1,4,1.61
4/23/1996,T2 ,R1,2,1.39
4/23/1996,T2 ,R1,3,1.62
4/23/1996,T2 ,R1,4,1.56
4/3/1996,T3 ,R1,1,1.64
4/3/1996,T3 ,R1,2,1.57
4/3/1996,T3 ,R1,3,1.6
4/3/1996,T3 ,R1,4,1.55
4/3/1996,T3 ,R1,5,1.41
4/3/1996,T4 ,R1,2,1.46
5/3/1996,TSF,R2,3,1.19
5/3/1996,TSF,R2,4,1.21
5/6/1996,TSF,R3,2,1.2
5/6/1996,TSF,R3,3,1.26
5/6/1996,TSF,R3,4,1.35
5/28/1995,TCF,R1,2,1.13
5/28/1995,TCF,R1,3,1.22
5/28/1995,TCF,R1,4,1.2
5/6/1996,TCF,R2,2,1.11
5/6/1996,TCF,R2,3,1.16
5/6/1996,TCF,R2,4,1.11
5/6/1996,TCF,R3,2,1.43
5/6/1996,TCF,R3,3,1.31
5/6/1996,TCF,R3,4,1.33
5/28/1995,TDF,R1,2,1.14
5/28/1995,TDF,R1,3,1.1
5/28/1995,TDF,R1,4,0.95
5/28/1995,TDF,R2,2,0.93
5/28/1995,TDF,R2,3,0.97
5/28/1995,TDF,R2,4,0.95
5/6/1996,TDF,R3,2,1.07
5/6/1996,TDF,R3,3,1
5/6/1996,TDF,R3,4,1.05
